experiment,model,image_size,ground_truth,predictions,TP,FP,FN,precision,recall,f1,avg_inference_seconds,approx_fps
YOLO26n_640,yolo26n.pt,640,2535,1564,966,598,1569,0.6176470588235294,0.3810650887573965,0.4713344718223957,0.17377209099708124,5.754664021490059
YOLO26s_640,yolo26s.pt,640,2535,1683,1082,601,1453,0.6428995840760546,0.42682445759368837,0.5130393551446182,0.31341091299778784,3.1906993615345436
YOLO26n_960,yolo26n.pt,960,2535,2056,1179,877,1356,0.5734435797665369,0.4650887573964497,0.5136135918100632,0.3215956710005412,3.1094945926629625
